ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
BUR,MQ,36,6.78,-2.97,0.00,-2.62,2
BUR,WN,13872,7.48,0.38,1.06,-1.92,3
BUR,OO,3009,11.21,9.47,0.80,1.81,4
BUR,AA,880,12.28,7.97,1.02,2.88,5
BUR,UA,1175,12.87,9.91,1.79,3.47,6
BUR,F9,52,13.37,19.27,0.00,3.97,7
BUR,NK,1412,15.2,12.35,1.63,5.8,8
BUR,DL,334,24.03,18.41,0.60,14.63,9
BUR,B6,232,54.46,49.89,1.72,45.06,10
BWI,OO,7,-5.0,-11.43,0.00,-20.77,1
BWI,MQ,376,3.95,-0.94,1.33,-11.82,2
BWI,UA,2539,6.66,2.04,1.97,-9.11,3
BWI,B6,167,6.86,3.97,2.40,-8.91,4
BWI,OH,26,6.88,4.42,0.00,-8.89,5
BWI,YX,673,8.32,4.21,1.19,-7.45,6
BWI,DL,3842,9.48,2.6,0.70,-6.29,7
BWI,AS,415,15.89,11.86,2.17,0.12,8
BWI,WN,54430,16.07,9.12,0.90,0.3,9
BWI,AA,2702,16.69,11.04,1.85,0.92,10
BWI,NK,4775,17.19,10.6,1.95,1.42,11
BWI,9E,347,23.85,18.44,6.63,8.08,12
BWI,G4,112,27.91,21.92,1.79,12.14,13
BWI,F9,2073,29.96,28.04,3.52,14.19,14
BZN,AS,472,5.08,6.82,1.06,-6.0,1
BZN,OO,1403,5.83,3.23,0.64,-5.25,2
BZN,DL,1294,7.68,3.56,0.54,-3.4,3
BZN,MQ,52,7.85,3.12,0.00,-3.23,4
BZN,WN,1454,7.98,2.06,0.55,-3.1,5
BZN,G4,260,11.98,8.13,3.08,0.9,6
BZN,UA,1622,14.71,10.65,1.29,3.63,7
BZN,AA,677,25.58,23.0,0.44,14.5,8
BZN,B6,107,43.17,41.12,2.80,32.09,9
CAE,DL,1127,3.2,-4.45,0.62,-6.1,1
CAE,MQ,40,3.45,2.28,0.00,-5.85,2
CAE,OO,544,3.66,2.92,0.74,-5.64,3
CAE,9E,958,6.96,1.94,1.77,-2.34,4
CAE,OH,1660,9.62,9.35,1.39,0.32,5
CAE,YX,254,15.05,12.1,5.12,5.75,6
CAE,AA,517,30.05,26.74,2.90,20.75,7
CAK,OH,1199,10.75,8.79,0.75,-4.96,1
CAK,G4,528,19.05,13.99,2.46,3.34,2
CAK,OO,768,21.28,20.55,2.08,5.57,3
CDC,OO,471,4.7,-0.64,0.64,0.0,1
CDV,AS,520,1.84,0.72,2.12,0.0,1
CHA,YX,103,6.08,6.09,0.00,-6.86,1
CHA,9E,1136,9.94,4.2,0.79,-3.0,2
CHA,DL,915,10.08,1.72,0.98,-2.86,3
CHA,OO,705,13.74,13.23,1.99,0.8,4
CHA,OH,1035,13.81,10.62,0.87,0.87,5
CHA,MQ,925,15.49,11.78,2.05,2.55,6
CHA,G4,182,29.73,27.19,3.85,16.79,7
CHO,OH,47,-6.04,-2.4,0.00,-17.0,1
CHO,YX,363,6.61,8.46,2.75,-4.35,2
CHO,9E,1283,10.48,4.3,2.96,-0.48,3
CHO,DL,182,11.16,0.85,0.00,0.2,4
CHO,OO,466,17.33,17.7,2.36,6.37,5
CHS,YX,1661,2.98,-1.29,1.51,-8.24,1
CHS,AS,234,5.55,2.56,2.99,-5.67,2
CHS,OH,1258,7.52,5.64,1.99,-3.7,3
CHS,WN,2607,7.9,2.88,0.77,-3.32,4
CHS,9E,1478,10.23,4.18,4.53,-0.99,5
CHS,MQ,665,10.28,6.62,2.11,-0.94,6
CHS,UA,1635,10.45,6.41,1.53,-0.77,7
CHS,DL,2914,10.75,5.57,0.82,-0.47,8
CHS,G4,158,15.21,14.14,3.80,3.99,9
CHS,AA,3614,15.54,12.59,1.88,4.32,10
CHS,F9,132,16.01,11.8,2.27,4.79,11
CHS,OO,277,16.02,14.5,1.08,4.8,12
CHS,B6,1362,17.67,13.33,1.76,6.45,13
CHS,NK,941,17.77,12.22,3.40,6.55,14
CID,9E,120,0.98,-3.17,0.00,-13.75,1
CID,YX,110,3.71,-3.41,6.36,-11.02,2
CID,UA,859,8.66,5.91,1.63,-6.07,3
CID,MQ,847,9.36,8.03,1.89,-5.37,4
CID,OH,452,11.86,7.37,3.10,-2.87,5
CID,F9,187,12.74,11.24,1.60,-1.99,6
CID,OO,1457,14.32,12.13,2.61,-0.41,7
CID,G4,646,15.0,10.39,2.48,0.27,8
CID,DL,278,17.0,13.42,1.80,2.27,9
CID,AA,910,30.5,25.8,3.85,15.77,10
CIU,OO,545,20.88,15.83,1.28,0.0,1
CKB,G4,149,35.3,33.56,2.68,0.0,1
CLE,YX,3272,4.97,0.07,2.35,-6.0,1
CLE,UA,6132,5.23,-0.21,1.35,-5.74,2
CLE,AS,320,5.37,3.56,2.19,-5.6,3
CLE,WN,3749,7.78,0.89,0.69,-3.19,4
CLE,MQ,440,8.58,2.8,0.91,-2.39,5
CLE,B6,588,9.0,5.52,1.70,-1.97,6
CLE,OH,1099,10.05,8.32,1.18,-0.92,7
CLE,DL,2298,11.02,1.29,0.87,0.05,8
CLE,OO,1232,11.73,5.6,0.81,0.76,9
CLE,NK,712,12.79,6.21,2.39,1.82,10
CLE,9E,1771,14.22,6.69,2.94,3.25,11
CLE,AA,3419,14.33,11.09,1.78,3.36,12
CLE,F9,4740,22.14,17.48,2.91,11.17,13
CLL,MQ,618,10.32,5.67,2.43,-1.56,1
CLL,OO,210,16.54,15.05,3.81,4.66,2
CLT,YX,1892,8.41,4.72,1.43,-10.2,1
CLT,DL,4572,10.97,2.7,0.66,-7.64,2
CLT,OH,42135,12.6,8.7,1.17,-6.01,3
CLT,UA,2993,12.91,10.2,1.37,-5.7,4
CLT,9E,2286,15.31,10.55,4.02,-3.3,5
CLT,MQ,4590,15.87,12.33,1.46,-2.74,6
CLT,WN,2490,17.61,11.34,0.32,-1.0,7
CLT,AA,93729,21.83,17.61,1.38,3.22,8
CLT,OO,43,21.91,12.49,0.00,3.3,9
CLT,B6,403,22.31,14.98,2.48,3.7,10
CLT,NK,3553,23.83,18.52,2.93,5.22,11
CLT,F9,2373,30.04,32.97,3.71,11.43,12
CMH,YX,8425,1.58,-3.47,1.15,-7.5,1
CMH,DL,2465,6.59,-0.45,0.85,-2.49,2
CMH,AS,308,8.13,1.64,1.95,-0.95,3
CMH,WN,8797,9.64,2.83,1.03,0.56,4
CMH,9E,178,11.12,4.37,0.00,2.04,5
CMH,MQ,2291,11.46,7.64,0.57,2.38,6
CMH,OO,976,13.41,6.78,0.20,4.33,7
CMH,UA,1985,13.8,11.01,1.41,4.72,8
CMH,OH,982,14.87,10.08,1.32,5.79,9
CMH,NK,1824,16.29,7.64,2.14,7.21,10
CMH,F9,181,18.22,16.38,2.21,9.14,11
CMH,AA,2513,19.02,15.45,1.79,9.94,12
CMI,MQ,1020,16.18,9.88,1.37,0.0,1
CMX,OO,527,20.72,19.81,3.80,0.0,1
CNY,OO,19,8.82,5.88,10.53,0.0,1
COD,OO,444,16.49,9.78,0.68,0.0,1
COS,WN,3715,9.4,3.75,0.62,-1.11,1
COS,OO,3601,9.6,3.78,1.31,-0.91,2
COS,UA,583,9.68,6.35,2.74,-0.83,3
COS,AA,798,15.01,14.59,2.26,4.5,4
COS,DL,401,15.9,9.94,0.75,5.39,5
COS,MQ,253,18.96,16.54,0.40,8.45,6
COU,MQ,1233,11.94,9.62,2.19,-1.71,1
COU,OO,73,42.31,35.94,1.37,28.66,2
CPR,OO,1226,8.41,1.2,0.57,0.0,1
CRP,OO,197,6.55,4.71,1.02,-2.38,1
CRP,MQ,1845,8.81,6.99,1.95,-0.12,2
CRP,WN,861,9.75,6.14,1.16,0.82,3
CRW,9E,130,2.09,-5.1,0.00,-18.45,1
CRW,OH,972,18.0,16.28,1.13,-2.54,2
CRW,OO,1368,24.12,18.51,1.24,3.58,3
CSG,9E,429,8.63,3.04,2.80,-3.3,1
CSG,OO,307,16.48,11.88,1.30,4.55,2
CVG,YX,3923,4.48,0.77,1.73,-6.67,1
CVG,OO,651,8.1,7.31,0.15,-3.05,2
CVG,UA,1460,8.53,6.03,1.23,-2.62,3
CVG,9E,4888,8.54,3.07,1.74,-2.61,4
CVG,DL,5213,9.01,2.1,1.04,-2.14,5
CVG,WN,1649,9.22,3.41,0.61,-1.93,6
CVG,AS,244,9.27,5.23,1.64,-1.88,7
CVG,MQ,2010,11.52,8.09,0.80,0.37,8
CVG,OH,1815,14.08,12.13,1.05,2.93,9
CVG,G4,2368,14.37,11.44,1.35,3.22,10
CVG,F9,3407,16.73,13.53,2.20,5.58,11
CVG,AA,2451,22.17,17.66,2.00,11.02,12
CWA,9E,510,3.69,-2.04,0.98,0.0,1
CYS,OO,475,12.13,4.44,1.89,0.0,1
DAB,DL,1072,7.7,3.0,1.40,-1.69,1
DAB,OH,800,10.74,3.97,3.25,1.35,2
DAB,AA,230,12.42,7.3,1.30,3.03,3
DAB,MQ,8,16.13,10.63,0.00,6.74,4
DAL,AS,251,2.21,-1.38,3.19,-11.86,1
DAL,DL,1534,13.08,7.61,0.78,-0.99,2
DAL,WN,52505,14.16,8.37,1.09,0.09,3
DAY,YX,242,-0.29,-2.4,0.83,-10.84,1
DAY,DL,805,4.46,-5.85,0.99,-6.09,2
DAY,9E,327,6.85,-3.01,3.06,-3.7,3
DAY,OH,2556,11.24,8.53,1.06,0.69,4
DAY,OO,1102,13.55,10.28,1.09,3.0,5
DAY,MQ,131,17.06,11.51,2.29,6.51,6
DAY,G4,198,25.05,21.12,3.54,14.5,7
DCA,YX,19327,4.48,-0.11,1.53,-8.55,1
DCA,AS,1220,7.4,2.17,0.82,-5.63,2
DCA,UA,4236,12.27,8.16,1.96,-0.76,3
DCA,DL,6443,12.34,4.63,1.23,-0.69,4
DCA,WN,11600,13.15,4.66,1.18,0.12,5
DCA,MQ,3075,13.25,8.75,1.27,0.22,6
DCA,OO,117,14.03,5.94,0.85,1.0,7
DCA,OH,26443,14.85,11.01,2.24,1.82,8
DCA,B6,5899,15.65,8.93,1.61,2.62,9
DCA,F9,699,16.51,11.86,1.29,3.48,10
DCA,9E,1490,17.72,12.43,1.81,4.69,11
DCA,AA,19375,18.45,12.96,1.64,5.42,12
DDC,OO,467,23.67,21.38,2.78,0.0,1
DEC,OO,550,29.65,26.18,2.36,0.0,1
DEN,AS,1646,8.29,5.95,1.15,-5.11,1
DEN,OO,44346,10.94,6.11,1.36,-2.46,2
DEN,DL,8963,11.13,3.61,0.88,-2.27,3
DEN,UA,75327,12.6,7.85,1.19,-0.8,4
DEN,WN,72009,14.82,9.03,0.80,1.42,5
DEN,MQ,134,15.88,10.73,0.00,2.48,6
DEN,F9,18389,15.88,11.14,1.53,2.48,6
DEN,AA,6011,18.73,14.47,1.76,5.33,8
DEN,G4,338,20.56,20.14,1.48,7.16,9
DEN,B6,880,30.5,27.31,0.80,17.1,10
DEN,NK,21,57.71,53.05,0.00,44.31,11
DFW,MQ,52213,8.92,5.11,1.57,-10.26,1
DFW,OO,17901,10.19,6.65,2.13,-8.99,2
DFW,AS,1753,13.98,12.92,2.34,-5.2,3
