aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
STX,DL,29,14.52,7.28,0.0,0.06,3
STX,NK,55,18.72,19.92,3.64,4.26,4
STX,B6,5,44.0,49.4,0.0,29.54,5
SUN,OO,490,9.43,7.23,0.61,0.0,1
SUX,OO,192,14.47,11.96,0.52,0.0,1
SWF,G4,103,17.05,13.96,2.91,0.0,1
SWO,MQ,36,8.97,3.54,0.0,-12.58,1
SWO,OO,141,24.83,22.8,2.13,3.28,2
SYR,YX,310,4.76,1.75,1.61,-5.5,1
SYR,UA,229,5.14,2.38,1.31,-5.12,2
SYR,9E,484,5.59,-1.33,2.69,-4.67,3
SYR,MQ,198,8.29,5.48,0.51,-1.97,4
SYR,B6,303,8.38,5.04,3.3,-1.88,5
SYR,WN,219,11.07,4.0,0.46,0.81,6
SYR,DL,281,11.15,2.74,0.71,0.89,7
SYR,AA,380,12.96,11.06,0.79,2.7,8
SYR,OO,282,14.48,9.09,1.42,4.22,9
SYR,OH,118,15.26,16.25,0.85,5.0,10
SYR,F9,101,16.83,12.23,1.98,6.57,11
SYR,G4,160,23.59,16.64,1.25,13.33,12
TLH,DL,348,2.85,-3.07,0.86,-6.2,1
TLH,9E,139,6.33,6.59,5.04,-2.72,2
TLH,MQ,688,9.89,7.77,1.45,0.84,3
TLH,B6,75,12.13,6.01,4.0,3.08,4
TLH,OH,217,16.7,13.72,2.76,7.65,5
TLH,YX,8,23.57,27.0,12.5,14.52,6
TOL,G4,95,24.37,18.9,4.21,0.0,1
TPA,YX,7,6.0,1.86,0.0,-8.33,1
TPA,NK,1476,9.73,6.91,3.32,-4.6,2
TPA,UA,2110,12.07,7.71,2.32,-2.26,3
TPA,WN,6032,13.23,8.36,2.37,-1.1,4
TPA,DL,3152,13.47,8.22,2.03,-0.86,5
TPA,F9,1685,16.29,13.65,2.67,1.96,6
TPA,MQ,308,16.34,14.46,1.95,2.01,7
TPA,AS,266,16.89,13.66,6.02,2.56,8
TPA,AA,3165,17.55,14.45,2.91,3.22,9
TPA,B6,1308,18.77,13.65,2.91,4.44,10
TPA,9E,3,180.67,196.0,0.0,166.34,11
TRI,9E,265,1.52,-6.29,0.75,-6.7,1
TRI,MQ,115,6.31,-1.55,0.0,-1.91,2
TRI,DL,32,8.22,-5.03,0.0,0.0,3
TRI,OO,43,14.09,7.35,0.0,5.87,4
TRI,G4,47,26.87,29.36,4.26,18.65,5
TRI,OH,40,31.63,25.18,5.0,23.41,6
TTN,F9,406,19.21,12.08,5.17,0.0,1
TUL,UA,125,-3.55,0.75,0.0,-12.3,1
TUL,YX,153,1.17,-1.38,0.65,-7.58,2
TUL,MQ,434,3.37,-0.76,0.92,-5.38,3
TUL,OO,861,5.51,1.03,0.7,-3.24,4
TUL,DL,347,6.16,-1.62,0.0,-2.59,5
TUL,WN,1357,7.12,1.43,0.81,-1.63,6
TUL,9E,57,8.05,1.07,0.0,-0.7,7
TUL,OH,182,17.41,15.91,0.55,8.66,8
TUL,AA,589,21.38,19.4,1.87,12.63,9
TUL,G4,99,29.71,26.78,1.01,20.96,10
TUS,MQ,192,1.42,-0.42,0.52,-8.18,1
TUS,AS,130,6.65,10.3,0.77,-2.95,2
TUS,WN,1114,8.7,2.15,0.36,-0.9,3
TUS,OO,1939,9.05,7.15,0.15,-0.55,4
TUS,DL,280,10.94,2.15,0.71,1.34,5
TUS,UA,260,12.43,5.2,1.15,2.83,6
TUS,AA,821,13.2,11.27,1.46,3.6,7
TVC,9E,72,1.85,-1.48,1.39,-14.45,1
TVC,DL,112,7.75,2.29,2.68,-8.55,2
TVC,YX,118,11.64,13.08,0.85,-4.66,3
TVC,OH,45,13.33,8.29,0.0,-2.97,4
TVC,MQ,143,15.12,11.09,0.7,-1.18,5
TVC,UA,146,17.41,14.17,0.68,1.11,6
TVC,G4,57,19.65,11.24,3.51,3.35,7
TVC,OO,282,20.89,18.24,2.84,4.59,8
TVC,AA,30,56.27,54.83,0.0,39.97,9
TWF,OO,180,-0.03,-4.77,0.0,0.0,1
TXK,MQ,110,14.14,12.96,0.0,-1.75,1
TXK,OO,74,18.64,15.69,5.41,2.75,2
