aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
GRR,YX,1421,3.44,-0.16,2.5,-7.85,1
GSO,9E,1115,5.83,-1.3,3.0,-3.5,2
GSO,AA,982,25.67,23.45,3.2,16.34,8
GSO,DL,1752,5.26,-2.86,0.6,-4.07,1
GSO,G4,101,20.12,20.99,4.0,10.79,7
GSO,MQ,973,9.39,6.83,0.5,0.06,6
GSO,OH,1845,9.0,9.32,1.2,-0.33,5
GSO,OO,715,7.17,6.7,0.6,-2.16,4
GSO,YX,1172,6.13,2.65,3.5,-3.2,3
GSP,9E,1008,8.49,1.75,2.4,-1.1,6
GSP,AA,951,29.42,23.34,3.0,19.83,9
GSP,DL,1923,3.54,-4.51,1.0,-6.05,1
GSP,G4,240,30.83,27.61,2.9,21.24,10
GSP,MQ,1217,10.52,8.79,0.8,0.93,8
GSP,OH,2844,9.45,8.07,0.9,-0.14,7
GSP,OO,717,7.64,3.83,1.5,-1.95,5
GSP,UA,328,7.63,4.05,1.5,-1.96,4
GSP,WN,1100,7.31,0.33,0.6,-2.28,3
GSP,YX,1516,4.96,1.14,2.8,-4.63,2
GST,AS,61,-0.54,-2.98,8.2,0.0,1
GTF,G4,114,23.19,23.0,0.9,17.79,3
GTF,OO,1445,3.42,-0.86,0.6,-1.98,1
GTF,UA,195,9.83,-0.05,3.1,4.43,2
GTR,9E,528,1.37,-4.86,1.1,0.0,1
GUC,AA,97,43.65,45.72,2.1,27.62,2
GUC,OO,463,10.3,5.71,1.1,-5.73,1
GUM,UA,493,1.8,-6.46,0.6,0.0,1
HDN,AA,140,26.87,27.98,0.7,10.03,6
HDN,B6,38,57.7,61.3,2.6,40.86,7
HDN,DL,89,18.6,11.19,0.0,1.76,5
HDN,MQ,15,12.53,13.53,0.0,-4.31,2
HDN,OO,592,16.29,12.28,1.4,-0.55,3
HDN,UA,387,17.67,14.43,1.6,0.83,4
HDN,WN,443,10.02,4.84,1.1,-6.82,1
HGR,G4,205,46.61,44.86,2.9,0.0,1
HHH,MQ,804,10.41,8.84,1.9,-3.42,1
HHH,YX,554,18.8,14.64,2.2,4.97,2
HIB,OO,410,9.89,5.54,1.2,0.0,1
HLN,OO,1099,13.7,10.53,0.6,0.0,1
HNL,AA,1417,5.06,-2.82,0.1,-1.12,2
HNL,AS,3009,13.38,7.48,3.0,7.2,6
HNL,DL,2395,11.08,2.98,0.8,4.9,4
HNL,HA,23427,5.5,4.88,1.1,-0.68,3
HNL,UA,3425,12.9,3.4,1.3,6.72,5
HNL,WN,10660,2.59,-2.73,0.4,-3.59,1
HOB,OO,325,29.41,22.86,1.2,0.0,1
HOU,DL,1167,14.01,9.06,0.9,0.53,3
HOU,F9,248,28.04,23.53,5.2,14.56,6
HOU,G4,254,27.75,26.28,1.6,14.27,5
HOU,MQ,1344,13.06,9.72,4.5,-0.42,1
HOU,OH,111,43.39,38.64,8.1,29.91,7
HOU,OO,286,15.28,15.1,1.4,1.8,4
HOU,WN,38881,13.21,5.34,1.1,-0.27,2
HPN,9E,678,11.59,3.07,1.6,-3.01,3
HPN,B6,3530,11.23,7.42,1.4,-3.37,2
HPN,DL,653,16.58,6.82,1.1,1.98,5
HPN,MQ,844,9.35,5.26,2.3,-5.25,1
HPN,OH,2046,17.55,15.35,2.4,2.95,6
HPN,OO,722,30.25,23.74,2.5,15.65,7
HPN,YX,41,12.76,6.12,0.0,-1.84,4
HRL,DL,144,5.82,-3.6,0.7,-2.56,2
HRL,MQ,1200,7.27,5.36,1.3,-1.11,3
HRL,OO,193,2.41,0.37,1.6,-5.97,1
HRL,WN,1668,10.08,6.75,0.5,1.7,4
HSV,9E,426,5.25,0.76,1.2,-7.32,3
HSV,AA,9,32.11,20.56,0.0,19.54,7
HSV,DL,1429,3.54,-4.16,1.3,-9.03,2
HSV,MQ,1382,14.72,10.86,1.4,2.15,4
HSV,OH,1885,18.32,16.48,2.1,5.75,6
HSV,OO,1256,15.74,12.3,1.1,3.17,5
HSV,YX,163,1.08,-0.31,1.8,-11.49,1
HTS,G4,329,39.59,38.89,3.3,0.0,1
HYA,B6,78,50.61,54.17,7.7,24.65,2
HYA,YX,133,12.51,19.08,0.8,-13.45,1
HYS,OO,486,13.16,7.27,1.9,0.0,1
IAD,9E,259,5.32,-1.71,0.0,-5.67,3
IAD,AA,513,19.73,12.68,1.9,8.74,9
IAD,AS,1504,11.51,7.44,1.8,0.52,5
IAD,DL,2261,14.2,4.61,0.8,3.21,7
IAD,F9,73,20.52,20.03,0.0,9.53,10
IAD,G4,233,43.72,36.56,2.1,32.73,12
IAD,MQ,20,4.21,10.47,5.0,-6.78,1
IAD,OH,1154,14.7,8.36,0.9,3.71,8
IAD,OO,1953,22.13,17.23,1.4,11.14,11
IAD,UA,22789,10.72,5.58,1.5,-0.27,4
IAD,WN,827,12.1,4.55,0.2,1.11,6
IAD,YX,6009,4.34,-0.67,1.1,-6.65,2
IAG,G4,267,26.33,22.47,2.2,0.0,1
IAH,AA,5104,23.66,19.64,2.9,5.59,9
IAH,AS,623,9.27,6.35,2.4,-8.8,2
IAH,B6,504,27.16,22.91,2.0,9.09,10
IAH,DL,5822,14.84,7.8,1.2,-3.23,4
IAH,F9,2484,30.27,29.7,3.1,12.2,11
IAH,MQ,1024,15.92,10.18,3.4,-2.15,5
IAH,NK,7220,17.09,11.13,2.1,-0.98,6
IAH,OH,26,5.04,5.81,0.0,-13.03,1
IAH,OO,9586,18.97,14.61,2.6,0.9,8
IAH,UA,50547,17.5,12.5,1.9,-0.57,7
