aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
AUS,6,1351,379,168,"['Late Aircraft (15787 min)', 'Carrier (9466 min)', 'NAS (5464 min)']"
AUS,7,1274,398,234,"['Late Aircraft (23509 min)', 'Carrier (14953 min)', 'NAS (6274 min)']"
AUS,8,1424,238,128,"['Late Aircraft (13232 min)', 'Carrier (9625 min)', 'NAS (3365 min)']"
AUS,9,1421,169,58,"['Carrier (6578 min)', 'Late Aircraft (6148 min)', 'NAS (2611 min)']"
AUS,10,1502,199,73,"['Late Aircraft (7233 min)', 'Carrier (6120 min)', 'NAS (2358 min)']"
AUS,11,1370,196,73,"['Late Aircraft (6795 min)', 'Carrier (3506 min)', 'NAS (3121 min)']"
AUS,12,1314,258,129,"['Late Aircraft (12185 min)', 'Carrier (6178 min)', 'NAS (4102 min)']"
AVL,1,159,27,14,"['Carrier (1376 min)', 'Late Aircraft (1179 min)', 'NAS (485 min)']"
AVL,2,164,10,5,"['Carrier (1726 min)', 'Late Aircraft (846 min)', 'NAS (279 min)']"
AVL,3,168,20,11,"['NAS (1398 min)', 'Carrier (516 min)', 'Late Aircraft (369 min)']"
AVL,4,194,28,18,"['Late Aircraft (2145 min)', 'Carrier (1621 min)', 'NAS (912 min)']"
AVL,5,190,53,36,"['Late Aircraft (3802 min)', 'NAS (2015 min)', 'Carrier (1840 min)']"
AVL,6,208,51,30,"['Late Aircraft (2608 min)', 'Carrier (1636 min)', 'NAS (744 min)']"
AVL,7,202,61,49,"['Late Aircraft (5106 min)', 'Carrier (3035 min)', 'NAS (2304 min)']"
AVL,8,162,67,29,"['Carrier (2873 min)', 'Late Aircraft (2409 min)', 'NAS (1261 min)']"
